DATE,SP500_PCH
43215,0.18371
43216,1.04342
43217,0.11136
43220,-0.81875
43221,0.2549
43222,-0.72058
43223,-0.22537
43224,1.28112
43227,0.3458
43228,-0.02657
43229,0.96822
43230,0.93706
43231,0.17076
43234,0.08835
43235,-0.68422
43236,0.40606
43237,-0.08558
43238,-0.26322
43241,0.73867
43242,-0.31357
43243,0.32484
43244,-0.20232
43245,-0.23572
43250,1.26958
43251,-0.68796
43252,1.08492
43255,0.44796
43256,0.07026
43257,0.85674
43258,-0.07142
43259,0.31259
43262,0.10687
43263,0.17434
43264,-0.40261
43265,0.24715
43266,-0.10171
43269,-0.21262
43270,-0.40234
43271,0.17122
43272,-0.63455
43273,0.1862
43276,-1.37247
43277,0.22046
43278,-0.86043
43279,0.61786
43280,0.07584
43283,0.3068
43284,-0.49474
43287,0.84813
43290,0.8823
43291,0.34732
43292,-0.70942
43293,0.8749
43294,0.10792
43297,-0.10281
43298,0.39737
43299,0.21605
43300,-0.39529
43301,-0.09485
43304,0.18381
43305,0.47809
43306,0.91015
43307,-0.30323
43308,-0.65623
43311,-0.57542
43312,0.48847
43313,-0.10404
43314,0.49265
43315,0.46441
43318,0.35383
43319,0.28242
43320,-0.02624
43321,-0.14417
43322,-0.71139
43325,-0.4006
43326,0.63892
43327,-0.76022
43328,0.79195
43329,0.33231
43332,0.2428
43333,0.20686
43334,-0.03982
43335,-0.16912
43336,0.61989
43339,0.76704
43340,0.02693
43341,0.57014
43342,-0.44303
43343,0.01344
43348,-0.28032
43349,-0.36523
43350,-0.22133
43353,0.18978
43354,0.37398
43355,0.03567
43356,0.52823
43357,0.02755
43360,-0.55697
43361,0.5369
43362,0.12533
43363,0.78406
43364,-0.03685
43367,-0.35158
43368,-0.13051
43369,-0.32892
43370,0.27633
43371,-0.00069
43374,0.36411
43375,-0.03966
43376,0.07115
43377,-0.81695
43378,-0.5528
43381,-0.03951
43382,-0.1418
43383,-3.28642
43384,-2.05731
43385,1.42063
43388,-0.5905
43389,2.14956
43390,-0.02527
43391,-1.43919
43392,-0.03612
43395,-0.42995
43396,-0.55119
43397,-3.08645
43398,1.86251
43399,-1.73272
43402,-0.65596
43403,1.56668
43404,1.08513
43405,1.05578
43406,-0.63167
43409,0.56003
43410,0.62593
43411,2.12089
43412,-0.2509
43413,-0.9199
43416,-1.97015
43417,-0.14819
43418,-0.75675
43419,1.05938
43420,0.22233
43423,-1.66431
43424,-1.81512
43425,0.30433
43430,1.55324
43431,0.32617
43432,2.29739
43433,-0.21977
43434,0.81855
43437,1.09414
43438,-3.23649
43441,-2.33202
43444,0.17622
43445,-0.03564
43446,0.54195
43447,-0.01999
43448,-1.90867
43451,-2.07735
43452,0.00864
43453,-1.53957
43454,-1.57721
43455,-2.05883
43458,-2.71122
43461,0.85626
43462,-0.12415
43465,0.84924
43468,-2.47567
43469,3.43357
43472,0.70104
43473,0.96953
43474,0.4098
43475,0.45184
43476,-0.01463
43479,-0.52576
43480,1.07217
43481,0.2222
43482,0.75915
43483,1.31831
43488,0.22029
43489,0.13757
43490,0.84887
43493,-0.78469
43494,-0.14562
43495,1.55492
43496,0.85974
43497,0.08986
43500,0.67762
43501,0.47085
43502,-0.22245
43503,-0.93571
43504,0.06763
43507,0.0709
43508,1.28903
43509,0.3024
43510,-0.26516
43511,1.08787
43516,0.17771
43517,-0.35264
43518,0.64111
43521,0.12318
43522,-0.07904
43523,-0.0544
43524,-0.28255
43525,0.68953
43528,-0.38806
43529,-0.11315
43530,-0.65241
43531,-0.81257
43532,-0.21317
43535,1.4666
43536,0.29533
43537,0.69496
43538,-0.0868
43539,0.49849
43542,0.3706
43543,-0.01306
43544,-0.29443
43545,1.08525
43546,-1.89745
43549,-0.08391
43550,0.71828
43551,-0.46444
43552,0.35895
43553,0.67343
43556,1.15686
43557,0.00174
43558,0.21484
43559,0.20846
43560,0.46364
43563,0.10474
43564,-0.60675
43565,0.34779
43566,0.00381
43567,0.66094
43570,-0.06294
43571,0.05094
43572,-0.22738
43573,0.15791
43578,0.88412
43579,-0.21918
43580,-0.03689
43581,0.46853
43584,0.10715
43585,0.09514
43586,-0.75021
43587,-0.2124
43588,0.96383
43591,-0.4471
43592,-1.65117
43593,-0.16054
43594,-0.30214
43595,0.37203
43598,-2.41306
43599,0.8016
43600,0.5839
43601,0.88952
43602,-0.58373
43605,-0.67494
43606,0.84958
43607,-0.28244
43608,-1.19141
43609,0.13535
43614,-0.6912
43615,0.20984
43616,-1.31954
43619,-0.27652
43620,2.14323
43621,0.81619
43622,0.61356
43623,1.04977
43626,0.46601
43627,-0.03499
43628,-0.20376
43629,0.40974
43630,-0.16115
43633,0.09318
43634,0.97174
43635,0.29852
43636,0.94722
43637,-0.12592
43640,-0.17319
43641,-0.94963
43642,-0.1234
43643,0.38232
43644,0.57574
43647,0.76723
43648,0.29281
43649,0.76724
43654,-0.48355
43655,0.12366
43656,0.45106
43657,0.22853
43658,0.46201
43661,0.01759
43662,-0.34038
43663,-0.65312
43664,0.35819
43665,-0.61767
43668,0.28287
43669,0.68475
43670,0.46881
43671,-0.52624
43672,0.73876
43675,-0.16161
43676,-0.25786
43677,-1.08855
43678,-0.89989
43679,-0.72827
43682,-2.97778
43683,1.3017
43684,0.07669
43685,1.87623
43686,-0.66165
43689,-1.19576
43690,1.4762
43691,-2.92928
43692,0.24643
43693,1.44262
43696,1.21059
43697,-0.79148
43698,0.82468
43699,-0.05061
43700,-2.59464
43703,1.09831
43704,-0.32032
43705,0.65455
43706,1.26872
43707,0.06428
43712,1.08421
43713,1.30098
43714,0.09106
43717,-0.0094
43718,0.03223
43719,0.72297
43720,0.28791
43721,-0.07244
43724,-0.31356
43725,0.25818
43726,0.03427
43727,0.002
43728,-0.48956
43731,-0.00969
43732,-0.84164
43733,0.61586
43734,-0.24289
43735,-0.53163
43738,0.50476
43739,-1.22584
43740,-1.79032
43741,0.7972
43742,1.42169
43745,-0.44783
43746,-1.55608
43747,0.91045
43748,0.64157
43749,1.09389
43752,-0.13871
43753,0.99557
43754,-0.19995
43755,0.27628
43756,-0.39193
43759,0.68716
43760,-0.35687
43761,0.28471
43762,0.19204
43763,0.40727
43766,0.55814
43767,-0.08324
43768,0.32533
43769,-0.30229
43770,0.96624
43773,0.37041
43774,-0.11857
43775,0.07025
43776,0.27301
43777,0.25606
43780,-0.19624
43781,0.15646
43782,0.07116
43783,0.08371
43784,0.76955
43787,0.05031
43788,-0.05926
43789,-0.37562
43790,-0.15828
43791,0.21749
43794,0.75073
43795,0.21955
43796,0.41745
43801,-0.86311
43802,-0.6638
43803,0.63235
43804,0.15003
43805,0.91357
43808,-0.31628
43809,-0.1097
43810,0.29082
43811,0.85752
43812,0.00726
43815,0.71478
43816,0.03353
43817,-0.04323
43818,0.44592
43819,0.49448
43822,0.08661
43823,-0.01954
43826,0.0034
43829,-0.57808
43830,0.2946
43833,-0.70599
43836,0.35334
43837,-0.28032
43838,0.49024
43839,0.66553
43840,-0.28552
43843,0.69763
43844,-0.15145
43845,0.18702
43846,0.83665
43847,0.38621
43852,0.02891
43853,0.1141
43854,-0.90421
43857,-1.57307
43858,1.00536
43859,-0.08668
43860,0.31344
43861,-1.77059
43864,0.72546
43865,1.49804
43866,1.12506
43867,0.33256
43868,-0.54008
43871,0.73264
43872,0.16885
43873,0.64627
43874,-0.16304
43875,0.18435
43880,0.47058
43881,-0.38155
43882,-1.05181
43885,-3.35136
43886,-3.028
43887,-0.37785
43888,-4.41633
43889,-0.82383
43892,4.60392
43893,-2.81079
43894,4.22026
43895,-3.3922
43896,-1.70539
43899,-7.59697
43900,4.93963
43901,-4.88684
43902,-9.51127
43903,9.28712
43906,-11.98405
43907,5.99548
43908,-5.18308
43909,0.47079
43910,-4.33595
43913,-2.92939
43914,9.38277
43915,1.1535
43916,6.24142
43917,-3.36873
43920,3.3516
43921,-1.60128
43922,-4.41424
43923,2.28294
43924,-1.51371
43927,7.03313
43928,-0.1603
43929,3.40564
43930,1.44874
43935,3.05725
43936,-2.20305
43937,0.58167
43938,2.67936
43941,-1.7881
43942,-3.06748
43943,2.29302
43944,-0.05394
43945,1.39181
43948,1.47141
43949,-0.52424
43950,2.65839
43951,-0.92124
43952,-2.8059
43955,0.42498
43956,0.90406
43957,-0.69794
43958,1.15046
43959,1.68715
43962,0.01775
43963,-2.05438
43964,-1.74627
43965,1.15248
43966,0.39264
43969,3.15012
43970,-1.04844
43971,1.6651
43972,-0.77736
43973,0.23537
43978,1.48273
43979,-0.21079
43980,0.48123
43983,0.37513
43984,0.82108
43985,1.3649
43986,-0.33687
43987,2.62117
43990,1.20416
43991,-0.77992
43992,-0.53131
43993,-5.89441
43994,1.30609
43997,0.83122
43998,1.89624
43999,-0.36003
44000,0.05942
44001,-0.56495
44004,0.64951
44005,0.43074
44006,-2.58552
44007,1.09595
44008,-2.42269
44011,1.46857
44012,1.54099
44013,0.50221
44014,0.45413
44019,-1.08186
44020,0.78275
44021,-0.56436
44022,1.04662
44025,-0.93625
44026,1.34064
44027,0.9082
44028,-0.34061
44029,0.28486
44032,0.84069
44033,0.1679
44034,0.57471
44035,-1.23198
44036,-0.61904
44039,0.73951
44040,-0.64734
44041,1.24284
44042,-0.37503
44043,0.76705
44046,0.7181
44047,0.3612
44048,0.64297
44049,0.64277
44050,0.0633
44053,0.27422
44054,-0.79691
44055,1.39965
44056,-0.20471
44057,-0.01719
44060,0.27099
44061,0.23034
44062,-0.44044
44063,0.31587
44064,0.34411
44067,1.00437
44068,0.35963
44069,1.01957
44070,0.1673
44071,0.67326
44074,-0.2195
44075,0.7525
44076,1.53659
44077,-3.51258
44078,-0.8133
44083,2.0145
44084,-1.75848
44085,0.05331
44088,1.27418
44089,0.52194
44090,-0.4619
44091,-0.84124
44092,-1.11826
44095,-1.15711
44096,1.05179
44097,-2.37214
44098,0.29874
44099,1.59768
